v_ref (V),irrad (G),temp (C),current (A)
0.4,1000.001,40.001,6.011
0.4,1000.001,60.001,5.604
0.4,1000.001,80.001,4.862
0.4,1000.001,100.001,3.923
0.5,0.001,0.001,0.001
0.5,0.001,20.001,0.001
0.5,0.001,40.001,0.001
0.5,0.001,60.001,0.001
0.5,0.001,80.001,0.001
0.5,0.001,100.001,0.001
0.5,200.001,0.001,1.197
0.5,200.001,20.001,1.209
0.5,200.001,40.001,1.203
0.5,200.001,60.001,1.1
0.5,200.001,80.001,0.74
0.5,200.001,100.001,0.068
0.5,400.001,0.001,2.407
0.5,400.001,20.001,2.424
0.5,400.001,40.001,2.37
0.5,400.001,60.001,2.076
0.5,400.001,80.001,1.443
0.5,400.001,100.001,0.571
0.5,600.001,0.001,3.612
0.5,600.001,20.001,3.602
0.5,600.001,40.001,3.384
0.5,600.001,60.001,2.804
0.5,600.001,80.001,1.951
0.5,600.001,100.001,0.949
0.5,800.001,0.001,4.796
0.5,800.001,20.001,4.658
0.5,800.001,40.001,4.148
0.5,800.001,60.001,3.321
0.5,800.001,80.001,2.326
0.5,800.001,100.001,1.244
0.5,1000.001,0.001,5.892
0.5,1000.001,20.001,5.471
0.5,1000.001,40.001,4.682
0.5,1000.001,60.001,3.698
0.5,1000.001,80.001,2.617
0.5,1000.001,100.001,1.484
0.6,0.001,0.001,0.001
0.6,0.001,20.001,0.001
0.6,0.001,40.001,0.001
0.6,0.001,60.001,0.001
0.6,0.001,80.001,0.001
0.6,0.001,100.001,0.001
0.6,200.001,0.001,1.178
0.6,200.001,20.001,1.08
0.6,200.001,40.001,0.687
0.6,200.001,60.001,0.001
0.6,200.001,80.001,0.001
0.6,200.001,100.001,0.001
0.6,400.001,0.001,2.325
0.6,400.001,20.001,2.013
0.6,400.001,40.001,1.323
0.6,400.001,60.001,0.394
0.6,400.001,80.001,0.001
0.6,400.001,100.001,0.001
0.6,600.001,0.001,3.308
0.6,600.001,20.001,2.679
0.6,600.001,40.001,1.769
0.6,600.001,60.001,0.722
0.6,600.001,80.001,0.001
0.6,600.001,100.001,0.001
0.6,800.001,0.001,4.019
0.6,800.001,20.001,3.136
0.6,800.001,40.001,2.095
0.6,800.001,60.001,0.978
0.6,800.001,80.001,0.001
0.6,800.001,100.001,0.001
0.6,1000.001,0.001,4.495
0.6,1000.001,20.001,3.463
0.6,1000.001,40.001,2.346
0.6,1000.001,60.001,1.185
0.6,1000.001,80.001,0.001
0.6,1000.001,100.001,0.001
0.7,0.001,0.001,0.001
0.7,0.001,20.001,0.001
0.7,0.001,40.001,0.001
0.7,0.001,60.001,0.001
0.7,0.001,80.001,0.001
0.7,0.001,100.001,0.001
0.7,200.001,0.001,0.629
0.7,200.001,20.001,0.001
0.7,200.001,40.001,0.001
0.7,200.001,60.001,0.001
0.7,200.001,80.001,0.001
0.7,200.001,100.001,0.001
0.7,400.001,0.001,1.192
0.7,400.001,20.001,0.203
